mode,region,group,pid,date,utt_no,wav_path,transcript,prediction
read,DG,1,PID_000000031,20191017,00460,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00460_DG.wav,﻿돼지고기는 완전히 익혀서 먹어야해,돼지고기는 완전히 익혀서 먹어야 해.
read,DG,1,PID_000000030,20191015,00402,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191015_00402_DG.wav,﻿나도 여행가고싶은데 딸들이 지들만 여행을 가,나도 여행 가고 싶은데 딸들이 지들만 여행을 가.
read,DG,1,PID_000000032,20191010,00136,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191010_00136_DG.wav,﻿오늘 혈당 입력해줘,오늘 혈당 입력해야죠.
read,DG,1,PID_000000030,20191007,00158,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191007_00158_DG.wav,﻿혈당 기록해 줄래,일단 기록해줄래?
read,DG,1,PID_000000027,20191011,00043,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191011_00043_DG.wav,﻿가스 밸브 안열어놨으니까 걱정마,가스 밸브 안 열어놨으니까 걱정 마.
read,DG,1,PID_000000027,20191015,00237,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00237_DG.wav,﻿치매 추천 음식 뭘까,치매 추천 음식 뭘까?
read,DG,1,PID_000000031,20191025,00236,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00236_DG.wav,﻿거기 집전화번호 좀 알려줘,거기 집 전화번호 좀 알려줘.
read,DG,1,PID_000000032,20191017,00132,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00132_DG.wav,﻿골다공증에 좋은 오늘 무슨 운동을 할지 알려줘,골다공증에 좋은 오늘 무슨 운동을 할지 알려줘.
read,DG,1,PID_000000030,20191007,00282,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191007_00282_DG.wav,﻿무슨 운동을 하지,무슨 운동을 하지.
read,DG,1,PID_000000026,20191017,00200,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00200_DG.wav,﻿그래도 가족들이 돈 벌어서 나까치 주니까 많이 고마워,그래도 가족들이 돈 벌어서 낚아주니까 많이 고마워.
read,DG,1,PID_000000028,20191017,00343,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191017_00343_DG.wav,﻿나는 언제쯤 자식들이랑 여행이라는 걸 가볼 수 있을까,나는 언제쯤 자식들이랑 여행이라는 걸 가볼 수 있을까?
read,DG,1,PID_000000026,20191017,00062,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00062_DG.wav,﻿손녀가 이번에 첫월급 탔다고 같이 여행을 가자네,손녀가 이번에 첫 월급 탔다고 같이 여행을 가자네.
read,DG,1,PID_000000032,20191017,00440,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00440_DG.wav,﻿발목이 아픈데 무슨 운동이 좋을까,발목이 아픈데 무슨 운동이 좋을까?
read,DG,1,PID_000000030,20191015,00031,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191015_00031_DG.wav,﻿비만에 좋은 오늘의 운동은,비만의 좋은 오늘의 운동은
read,DG,1,PID_000000029,20191014,00506,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00506_DG.wav,﻿아들이 이번에 해외에 가게 됐대,아들이 이번에 해외에 가게 됐대.
read,DG,1,PID_000000031,20191025,00446,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00446_DG.wav,﻿재미있는 노래 틀어줘,재밌는 노래를 틀어줘.
read,DG,1,PID_000000029,20191015,00139,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191015_00139_DG.wav,﻿나는 아직 돈을 버는데에 문제가 없어,나는 아직 돈을 버는 데에 문제가 없어.
read,DG,1,PID_000000029,20191008,00056,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00056_DG.wav,﻿비 올지도 몰라서 창문을 다 닫았어,비 올지도 몰라서 창문을 다 닫았어.
read,DG,1,PID_000000029,20191008,00343,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00343_DG.wav,﻿치매에 좋은 무슨 운동이 좋을지 알려줘,치매에 좋은 무슨 운동이 좋을지 알려줘.
read,DG,1,PID_000000031,20191010,00108,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191010_00108_DG.wav,﻿오늘 내 혈당 저장해,오늘 내 혈당 저장해.
read,DG,1,PID_000000026,20191009,00108,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191009_00108_DG.wav,﻿오늘 혈당 기록 부탁해,오늘 혈당 기록 부탁해.
read,DG,1,PID_000000026,20191017,00198,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00198_DG.wav,﻿딸이 맞벌이를 하느라 많이 힘든가봐,딸이 맞벌이를 하느라 많이 힘든가 봐.
read,DG,1,PID_000000026,20191012,00231,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00231_DG.wav,﻿음식 검색해줘,음식 검색해 줘.
read,DG,1,PID_000000029,20191014,00404,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00404_DG.wav,﻿사위가 여행은 커녕 먹고 죽을 돈도 없대,사위가 여행은 커녕 먹고 죽을 돈도 없대.
read,DG,1,PID_000000026,20191009,00177,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191009_00177_DG.wav,﻿혈당 입력 서비스 해봐,혈당 입력 서비스 해봐.
read,DG,1,PID_000000027,20191015,00298,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00298_DG.wav,﻿비만은 뭐 먹어야 해,비만은 뭐 먹어야 해?
read,DG,1,PID_000000027,20191015,00170,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00170_DG.wav,﻿좋은 음식 알려 주세요,좋은 음식 알려주세요.
read,DG,1,PID_000000029,20191014,00453,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00453_DG.wav,﻿자식 키워봐야 소용 없다더니 이게 딱 그 짝이야,자식 키워봐야 소용없다더니 이게 딱 그 짝이야.
read,DG,1,PID_000000031,20191025,00057,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00057_DG.wav,﻿딸이 매일 찾아와서 너무 좋아,딸이 매일 찾아와서 너무 좋아.
read,DG,1,PID_000000027,20191015,00796,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00796_DG.wav,﻿그 양반이 그래도 내 친구야,그 양반이 그래도 내 친구야.
read,DG,1,PID_000000030,20191007,00220,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191007_00220_DG.wav,﻿내 혈당 궁금해서 체크했음 해,네 일단 궁금해서 체크했음 해
read,DG,1,PID_000000031,20191017,00064,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00064_DG.wav,﻿내 혈당 괜찮아,내 혈당 괜찮아?
read,DG,1,PID_000000031,20191017,00243,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00243_DG.wav,﻿비만 예방 운동 추천 해줘,비만 예방 운동 추천해줘.
read,DG,1,PID_000000032,20191017,00415,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00415_DG.wav,﻿현미를 먹으면 뭐가 좋은거야,흰미를 먹으면 뭐가 좋은 거야?
read,DG,1,PID_000000026,20191017,00037,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00037_DG.wav,﻿아들한테 용돈을 달라고 하고 싶은데 안 안 안 안 줄 것 같아,아들한테 용돈을 달라고 하고 싶은데 안 줄 것 같아.
read,DG,1,PID_000000029,20191008,00254,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00254_DG.wav,﻿혈당 체크해줘,혈당 체크해줘.
read,DG,1,PID_000000026,20191017,00010,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00010_DG.wav,﻿돼지고기는 완전히 익혀서 먹어야해,돼지고기는 완전히 익혀서 먹어야 해.
read,DG,1,PID_000000027,20191015,00632,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00632_DG.wav,﻿봄은 삼 사 오월이고 여름은 육 칠 팔월이야,봄은 삼 사 오월이고 여름은 육 칠 팔월이야
read,DG,1,PID_000000026,20191017,00147,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00147_DG.wav,﻿아들이 하는 일이 잘 돼서 돈을 많이 벌고 있어 있는 있대,아들이 하는 일이 잘 돼서 돈을 많이 벌고 있어 있는 이때.
read,DG,1,PID_000000027,20191011,00042,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191011_00042_DG.wav,﻿가스 밸브 안열어놨어,가스 밸브 안 열어놨어.
read,DG,1,PID_000000029,20191015,00099,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191015_00099_DG.wav,﻿내 휴대폰 단축키 일번은 할아버지야,내 휴대폰 단축키 1번은 할아버지야.
read,DG,1,PID_000000031,20191017,00339,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00339_DG.wav,﻿골다공증 음식 알아봐 줄래,골다공축 음식 알아봐 줄래?
read,DG,1,PID_000000027,20191015,00576,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00576_DG.wav,﻿할아버지 기일이 언제야,할아버지 길이 언제야.
read,DG,1,PID_000000031,20191017,00018,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00018_DG.wav,﻿나 혈당 확인,나 혈당 확인
read,DG,1,PID_000000029,20191014,00291,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00291_DG.wav,﻿당뇨는 뭐 먹어야 해,당뇨는 뭐 먹어야 해?
read,DG,1,PID_000000031,20191010,00006,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191010_00006_DG.wav,﻿가스불 다 끄고 확인했어,가스불 다 끄고 확인했어.
read,DG,1,PID_000000026,20191012,00087,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00087_DG.wav,﻿고혈압에 좋은 어떤 운동을 오늘 할까,고혈압에 좋은 어떤 운동을 오늘 할까?
read,DG,1,PID_000000032,20191017,00464,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00464_DG.wav,﻿내가 예전에 용돈도 많이 줬는데 다들 이제는 모른척만 하네,내가 예전에 용돈도 많이 줬는데 다들 이제는 모른 척만 하네.
read,DG,1,PID_000000028,20191011,00143,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191011_00143_DG.wav,﻿오늘 혈당 저장해줘,오늘 혈당 저장해줘.
read,DG,1,PID_000000029,20191014,00205,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00205_DG.wav,﻿골다공증 좋은 음식 검색해,골다공증 좋은 음식 검색해.
read,DG,1,PID_000000031,20191017,00486,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00486_DG.wav,﻿딸이 용돈을 못줄거같대,딸이 용서를 못 줄 거 같아.
read,DG,1,PID_000000028,20191017,00539,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191017_00539_DG.wav,﻿거기 집전화번호 좀 알려줘,거기 집 전화번호 좀 알려줘.
read,DG,1,PID_000000032,20191017,00038,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00038_DG.wav,﻿내 혈당 괜찮아,내 혈당 괜찮아?
read,DG,1,PID_000000026,20191012,00172,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00172_DG.wav,﻿내가 골다공증인데 운동 좀 추천해줘라,내가 골다 웅장인데 운동 좀 추천해주라.
read,DG,1,PID_000000028,20191017,00533,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191017_00533_DG.wav,﻿전화하게 전화번호 좀 알려줘봐,전화하게 전화번호 좀 알려줘 봐.
read,DG,1,PID_000000029,20191014,00048,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00048_DG.wav,﻿질병별로 운동 추천해봐,질병별로 운동 추천해봐.
read,DG,1,PID_000000026,20191012,00121,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00121_DG.wav,﻿골다공증에 좋은 오늘 할 운동은 뭐냐,골다움증에 좋은 오늘 할 운동은 뭐냐?
read,DG,1,PID_000000027,20191015,00320,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00320_DG.wav,﻿웬만하면 라면 안먹고 밥 차려먹을거야,웬만하면 라면 안 먹고 밥 차려 먹을 거야.
read,DG,1,PID_000000029,20191008,00345,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00345_DG.wav,﻿치매에 좋은 뭔 운동할까,치매에 좋은 뭔 운동할까?
read,DG,1,PID_000000027,20191015,00109,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00109_DG.wav,﻿당뇨 운동 추천 해줘,당뇨 운동 추천해줘.
read,DG,1,PID_000000032,20191017,00188,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00188_DG.wav,﻿나 골다공증있는데 운동 추천해라,나 골다공증 있는데 운동 추천해라.
read,DG,1,PID_000000027,20191015,00021,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00021_DG.wav,﻿골다공증에 좋은 어떤 운동이 오늘 적합해,골다공증이 좋은 어떤 운동이 오늘 적합해?
read,DG,1,PID_000000026,20191009,00103,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191009_00103_DG.wav,﻿어제 혈당 저장해,어제 할 땅 저장해.
read,DG,1,PID_000000029,20191014,00002,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191014_00002_DG.wav,﻿골다공증에 좋은 뭔 운동이 좋을까,골다공증에 좋은 뭔 운동이 좋을까?
read,DG,1,PID_000000026,20191017,00199,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191017_00199_DG.wav,﻿가족들이 전부 돈을 벌라 많이 힘든가봐,가족들이 전부 돈을 벌어라 많이 힘든가 봐.
read,DG,1,PID_000000032,20191017,00100,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00100_DG.wav,﻿고혈압에 좋은 어떤 운동을 오늘 추천해,고혈압에 좋은 어떤 운동을 오늘 추천해.
read,DG,1,PID_000000031,20191025,00022,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00022_DG.wav,﻿딸이 같이 여행가자고 전화가 왔어,딸이 같이 여행가자고 전화가 왔어.
read,DG,1,PID_000000026,20191012,00199,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00199_DG.wav,﻿질병 별 예방운동 추천해줘,질병별 예방 운동 추천해줘.
read,DG,1,PID_000000028,20191017,00360,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191017_00360_DG.wav,﻿딸이 매일 찾아와서 너무 좋아,딸이 매일 찾아왔어. 너무 좋아.
read,DG,1,PID_000000031,20191025,00148,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00148_DG.wav,﻿아들네가 설에 기차를 타고 온다는데 예매는 했는지 모르겠네,아들네가 설에 기차를 타고 온다는데 예매는 했는지 모르겠네.
read,DG,1,PID_000000029,20191008,00117,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000029_20191008_00117_DG.wav,﻿오늘 혈당 기록해줄래,오늘 결단 기록해줄래?
read,DG,1,PID_000000030,20191015,00403,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191015_00403_DG.wav,﻿나도 여행가고싶은데 며느리가 같이 가기 싫대,나도 여행 가고 싶은데 며느리가 같이 가기 싫대
read,DG,1,PID_000000030,20191015,00318,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000030_20191015_00318_DG.wav,﻿북엇국에 흰밥을 먹으면 참 맛있겠다,북엇국에 흰밥을 먹으면 참 맛있겠다
read,DG,1,PID_000000026,20191012,00081,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000026_20191012_00081_DG.wav,﻿운동이 알고 싶어,운동이 알고 싶어.
read,DG,1,PID_000000028,20191011,00365,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191011_00365_DG.wav,﻿골다공증에 좋은 오늘 무슨 운동 추천해,골다공증에 좋은 오늘 무슨 운동 추천해?
read,DG,1,PID_000000031,20191017,00372,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191017_00372_DG.wav,﻿고혈압 추천 음식 알아 볼래,고혈압 추천 음식 알아볼래.
read,DG,1,PID_000000028,20191011,00264,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000028_20191011_00264_DG.wav,﻿나 혈당 위험수치야,나 혈당 이음 수치야.
read,DG,1,PID_000000027,20191015,00847,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00847_DG.wav,﻿안녕,안녕
read,DG,1,PID_000000032,20191017,00409,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00409_DG.wav,﻿시금치는 어디에 좋대,시금치는 어디에 좋대?
read,DG,1,PID_000000032,20191017,00270,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00270_DG.wav,﻿좋은 음식 뭘까,소원은 음식을 살 때 뭘까?
read,DG,1,PID_000000032,20191017,00020,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000032_20191017_00020_DG.wav,﻿내 혈당 알려줘,내 혈당 알려줘.
read,DG,1,PID_000000031,20191025,00291,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00291_DG.wav,﻿이번주에는 로또 번호로 몇 번을 찍을까,이번 주에는 로또 번호도 몇 번을 찍을까?
read,DG,1,PID_000000031,20191025,00186,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000031_20191025_00186_DG.wav,﻿어제는 며느리한테 전화가 왔었어,어제는 며느리한테서 전화가 왔었어.
read,DG,1,PID_000000027,20191015,00528,/storage/cholin2/whisper/data/VOTE400/VOTE400_Read/Audio/DG1/PID_000000027_20191015_00528_DG.wav,﻿가족들한테 기댈 수 있어서 참 좋아,가족들한테 기댈 수 있어서 참 좋아.
